citation,volume,title,page,reference,citation_count,oa_link,author,doi,issue,source_title,source_id,year
"10.1080/13183222.2015.1129203","30","Partial Retraction: Legacy Of Elisabeth Noelle-Neumann: The Spiral Of Silence And Other Controversiesdonsbachwolfgangsalmoncharles T.Tsfatiyariv (Eds) The Spiral Of Silence: New Perspectives On Communication And Public Opinion, Routledge, New York, 2014; 248 Pp.: £27.76Beckerjörgelisabeth Noelle-Neumann: Demoskopin Zwischen Ns-Ideologie Und Konservatismus, Verlag Ferdinand Schöningh, Paderborn, 2013; 379 Pp.: €29.90","353-363","10.1007/978-3-322-87749-9_2; 10.1111/j.1460-2466.1974.tb00367.x; 10.1111/j.1467-923x.1940.tb00552.x","1","","Splichal, Slavko","10.1177/0267323115589265","3","European Journal Of Communication","issn:0267-3231; issn:1460-3705","2015"
"","69","Producción Y Mano De Obra En Las Haciendas Jesuíticas Del Buenos Aires Colonial: La Chacarita Y Las Conchas En El Siglo Xviii","627-663","","0","http://estudiosamericanos.revistas.csic.es/index.php/estudiosamericanos/article/download/582/585","Olivero Guidobono, Sandra","10.3989/aeamer.2012.2.09","2","Anuario De Estudios Americanos","issn:1988-4273; issn:0210-5810","2012"
"10.1002/9781119265955.ch11","","Retracted Chapter: Michael Baius (1513–89) And The Debate On ‘Pure Nature’: Grace And Moral Agency In Sixteenth-Century Scholasticism","51-90","","1","","Stone, M. W. F.","10.1007/1-4020-3001-0_4","","Moral Philosophy On The Threshold Of Modernity - The New Synthese Historical Library","isbn:9781402030000; isbn:9781402030017","2005"
"","20","Retracted Article: On ‘Presence’ And Conversing With The Past: Do Historians Communicate With The Past?","(v)-(x)","10.1111/j.1468-229x.2011.00543_1.x; 10.4324/9780203426111","0","","Munslow, Alun","10.1080/13642529.2014.915496","1","Rethinking History","issn:1364-2529; issn:1470-1154","2014"
"10.2105/ajph.2015.1057.1726","105","Child Farm Laborers","1312-1312","","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4463389","Win, Aung Zaw","10.2105/ajph.2015.302623","7","American Journal Of Public Health","issn:0090-0036; issn:1541-0048","2015"
"10.1186/s12991-014-0030-2","13","Sacred Psychiatry In Ancient Greece","11","10.1016/j.brainresbull.2006.09.020; 10.1521/jaap.30.1.53.21983","1","https://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/1744-859X-13-11","Tzeferakos, Georgios; Douzenis, Athanasios","10.1186/1744-859x-13-11","1","Annals Of General Psychiatry","issn:1744-859X","2014"
"10.1075/ceb.10.15sch","14","Retracted Article: Who Will Carry The Word? The Threshold Between Unspeakability And Silence In The Holocaust Narratives Of Charlotte Delbo And Jorge Semprun","37-48","","1","","Sánchez-Pardo, Esther","10.1080/13825571003588429","1","European Journal Of English Studies","issn:1382-5577; issn:1744-4233","2010"
"10.3390/rel9070213; 10.1002/casp.699; 10.1080/09668136.2011.547697; 10.1080/13691830601154294; 10.1177/1750698016650485; 10.1080/14623520305660; 10.1177/0309132507087647; 10.1177/1468797615588425; 10.1177/1468797616635371; 10.1002/9781118257203.ch15; 10.1177/1463499605050866; 10.1080/00343400050192856; 10.1590/s0104-71832013000200016; 10.1057/9781137330727_7; 10.1017/s1755048314000789; 10.1080/01419870.2010.522245; 10.1080/01419870.2011.535548; 10.1080/01419870.2011.556748","23","Warlords, Priests And The Politics Of Ethnic Cleansing: A Case-Study From Rural Bosnia Hercegovina","16-36","","18","https://research.vu.nl/ws/files/1643772/127642.pdf","Bax, Mart","10.1080/014198700329114","1","Ethnic And Racial Studies","issn:0141-9870; issn:1466-4356","2000"
"","17","Retracted Article: A Catalog Of Aftershock Sequences In Greece (1998–2008) And Their Spatial And Temporal Characteristics","1107-1107","10.1007/bf00879500; 10.1016/b978-1-4832-2982-9.50009-7; 10.1023/a:1011473432628; 10.1111/j.1365-246x.1996.tb05272.x","0","https://link.springer.com/content/pdf/10.1007%2Fs10950-012-9310-y.pdf","Baskoutas, Ioannis; Papanastassiou, Dimitrios","10.1007/s10950-012-9310-y","3","Journal Of Seismology","issn:1383-4649; issn:1573-157X","2012"
"10.5339/messa.2014.5; 10.1007/s11205-013-0247-5","20","This Article Has Been Retracted","352-375","","2","","","10.1093/jis/etp023","3","Journal Of Islamic Studies","issn:0955-2340; issn:1471-6917","2009"
"","","Dummy Article Title","","10.1215/08992363-15-1-11","0","https://link.springer.com/content/pdf/10.1007%2Fs10691-018-9390-3.pdf","","10.1007/s10691-012-9194-9","","Feminist Legal Studies","issn:0966-3622","2012"
"","15","Withdrawn: Investigating The Need Of Nuclear Power Plants For Sustainable Energy In Iran","3575-3587","","0","","Mazandarani, A.","10.1016/j.rser.2011.05.014","8","Renewable And Sustainable Energy Reviews","issn:1364-0321","2011"
"","","Notice Of Retraction: On Generation And Development Of Railway Elementary Education In China (From 1898 To 1949)","","","0","","Meiyan Ding","10.1109/aimsec.2011.6009702","","2011 2Nd International Conference On Artificial Intelligence, Management Science And Electronic Commerce (Aimsec)","","2011"
"10.1007/s40656-018-0206-1; 10.1007/s10670-016-9815-9; 10.1080/17522439.2013.845593","42","Withdrawn: Thought Styles And Paradigms: A Comparative Study Of Ludwik Fleck And Thomas S. Kuhn","416-425","","3","","Mößner, Nicola","10.1016/j.shpsa.2011.02.001","3","Studies In History And Philosophy Of Science Part A","issn:0039-3681","2011"
