"5293","Mapping the relationship between transport energy consumption and urban form characteristics for the Greater Dublin Area (B/T) Transportation; (B/T) Urban Planning; (HUM) Cartography;  Journal of Maps ---Taylor and Francis School of Architecture, Landscape and Civil Engineering, University College Dublin, Newstead Building, Belfield, Dublin, 4, Ireland","+Euphemisms for Plagiarism+Investigation by Journal/Publisher+Plagiarism of Text","John Carty Aoife Ahern","06/01/2010  10.4113/jom.2010.1074","05/18/2012  10.1080/17445647.2012.690183","Research Article Retraction","Ireland No"
"8196","A Participatory Iterative Mapping Approach and Evaluation of Three Machine Learning Algorithms for Accurate Mapping of Cropping Patterns in a Complex Agro-Ecosystems (B/T) Computer Science; (B/T) Technology; (BLS) Agriculture; (HUM) Cartography;  Advances in Remote Sensing ---Scientific Research Publishing  (SCIRP) International Rice Research Institute (IRRI), Metro Manila, Philippines International Rice Research Institute (IRRI), Myanmar Office, Nay Pyi Taw, Myanmar International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru, India","+Notice - Limited or No Information+Unreliable Results","Gudina Legese Feyisa Leo Palao Andy Nelson Khin Thawda Win Kin Nge Htar Murali Krishna Gumma David E Johnson","01/25/2016  10.4236/ars.2016.51001","02/15/2016  10.4236/ars.2016.51001","Research Article Retraction","India Myanmar (formerly Burma) Philippines No"
"5696","Estimation of flood environmental effects using flood zone mapping techniques in Halilrood Kerman, Iran (HSC) Public Health and Safety; (HUM) Cartography; (PHY) Hydrology; (PUB) Society/Association Journals;  Journal of Environmental Health Science & Engineering ---BioMed Central (BMC) Department of Civil Engineering, K.N. Toosi University of Technology  Department and Faculty of Basic Sciences, PUK University http://retractionwatch.com/2015/06/03/flood-paper-washed-away-after-oversight-leads-to-publication-of-wrong-manuscript/","+Duplication of Article+Error by Journal/Publisher+Miscommunication by Author","Siamak Boudaghpour Majid Bagheri Zahra Bagheri","12/27/2014 25649059 10.1186/s40201-014-0153-z","04/17/2015 25883788 10.1186/s40201-015-0182-2","Research Article Retraction","Iran No"
"5292","Geo-Genealogy of Irish Surnames (HUM) Cartography; (SOC) Linguistics;  Journal of Maps ---Taylor and Francis Centre for GIS, Kingston University London, Penrhyn Road, Kingston upon Thames, Surrey, KT1 2EE, UKSAHSU, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, UK","+Notice - Limited or No Information+Withdrawal","Kenneth S Field Linda Beale","06/01/2010  10.4113/jom.2010.1128","05/18/2012  10.1080/17445647.2012.690182","Research Article Retraction","United Kingdom No"
"5294","Schematic visualisation of ski resort trails (HUM) Cartography; (SOC) Sports and Recreation;  Journal of Maps ---Taylor and Francis School of Geography, Geology and the Environment, Kingston University, Penhryn Road, Kingston upon Thames, Surrey, KT1 2EE, UK http://retractionwatch.com/2012/06/21/ski-resort-paper-hits-a-media-mogul-and-gets-retracted/","+Notice - Limited or No Information+Objections by Author(s)","Kenneth S Field","05/01/2009  10.4113/jom.2009.1045","05/18/2012  10.1080/17445647.2012.690180","Research Article Retraction","United Kingdom No"
