"multidisciplinary","multidisciplinary","6"
"animal science and zoology","ISBN","1"
"engineering","media technology","1"
"engineering","engineering (miscellaneous)","1"
"pathology and forensic medicine","ISBN","1"
"dentistry","ISBN","1"
"dentistry","dentistry (miscellaneous)","2"
"dentistry","oral surgery","1"
"dentistry","periodontics","1"
"physics and astronomy","physics and astronomy (miscellaneous)","1"
