RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 91 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
9306,"Construction Management Plan for Multiple Construction Layers of Flow Precess with Asynchronous Rhythms (B/T) Business - Management; (B/T) Computer Science; (B/T) Government; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Civil and Industrial, Engineering, Anhui Xinhua University, Hefei, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Wu Tao Jiang Yaqiong Jiang Qing,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5886810,Conference Abstract/Paper Retraction,China No
9398,"Design Method of Air Drying Dehumidification System for Main Cables of Suspension Bridge (HUM) Architecture; (PHY) Engineering - Structural;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Engineering Institute of Engineer Corps, PLA University of Science and Technology, Nanjing 210007, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Dai-Yong Jia Xiao-Ping Miao Liang-Kai Fan Shi-Bin Geng Xu Han,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5882808,Conference Abstract/Paper Retraction,China No
10377,"Ecological City Construction Ideas and Feasible Methods — In Shandong Jinan as an Example (B/T) Business - Economics; (B/T) Government; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) The Economic School, University of Jinan, Shan Dong Province, 250022, China The Social Research Institute of Jinan, Shan Dong Province, 250099, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Shen Fei Huang Ying,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881926,Conference Abstract/Paper Retraction,China No
9850,"Green Construction Management System for Construction Project (B/T) Business - Management; (HUM) Architecture; (PHY) Mathematics;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Architectural Engineering, Henan Polytechnic Institute, Nanyang, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Xiaoning Liu,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881953,Conference Abstract/Paper Retraction,China No
8956,"Investigation on the Multimedia Teaching Mode Design in the Course of Architecture Introduction (B/T) Computer Science; (B/T) Technology; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Civil Engineering, North China Institute of Science and Technology, Yanjiao, China",+Notice - Limited or No Information,Zhang Li,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5887114,Conference Abstract/Paper Retraction,China No
9355,"Numerical Simulation of Air Distribution in Large Space Building (HUM) Architecture; (PHY) Mathematics;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Biochemical Engineering College Beijing Union University, Beijing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Ren Yanli Luo Xiaohui,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5884508,Conference Abstract/Paper Retraction,China No
8705,"On Quality Control and Management Mode of Architectural Construction (B/T) Business - Management; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Scientific Research, Hebei Institute of Architecture and Civil Engineering, Zhangjiakou, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Huanqin Cai Qing Chang,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5882621,Conference Abstract/Paper Retraction,China No
8724,"Optimization Management of Nightscape Lighting for High-rise Dwellings (B/T) Business - Management; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Architectural Engineering, Henan Polytechnic Institute, Nanyang, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Yang Lu Guohui Fan,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5877039,Conference Abstract/Paper Retraction,China No
9390,"Performance Appraisal of Multi-project Management for Large-scale Construction Enterprises Based on the Projection of Multiple Attribute Decision Making (B/T) Business - Management; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Management, Wuhan University of Technology, Wuhan, P.R. China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,An Jianmin,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881349,Conference Abstract/Paper Retraction,China No
10533,"Production Logistics Services and Application Platform Architecture Design (HUM) Architecture; (PHY) Mathematics;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Microelectronics, Xidian University, Xi'an, China School of Economics & Finance, Xi'an Jiaotong University, Xi'an, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Ying Zhe Xuan Rong-Xi,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5886882,Conference Abstract/Paper Retraction,China No
9366,"Research of Owner's Project Management Mode for Large Construction Project — Case of an University's New Campus Construction in Chongqing (B/T) Business - Economics; (B/T) Business - Management; (B/T) Technology; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Civil Engineering and Architecture, Chongqing, University of Science &Technology, Chongqing, P.R. China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Zhaoyin-Zhou  Changyou-Zhang,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5882633,Conference Abstract/Paper Retraction,China No
8760,"Research on Establishment and Feasibility of Adjudication System Framework in Chinese Construction Industry (B/T) Business - Economics; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Xi'an University of Architecture and Technology, College of management, Xi'an, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Liu Hua,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5877059,Conference Abstract/Paper Retraction,China No
9376,"Research on Impacts of 2010 World Expo and Countermeasures to the Real Estate Industry in Shanghai (B/T) Business - Economics; (B/T) Government; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Hunan College Key Laboratory of the Construction Process, Quality and Safety of Civil Engineering, Hunan University of Science and Technology, Xiangtan, China Hunan Urban construction college, Xiangtan, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Tian Wang Lei Tan,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881572,Conference Abstract/Paper Retraction,China No
8744,"Research on Model of Construction Technology Progress in China (B/T) Technology; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Management, Xi'an University of Arch. & Tech., P.R., Xi'an, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Haimin Wei Yifang Zhao,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5881575,Conference Abstract/Paper Retraction,China No
9454,"Research on Whole Process Contract Management in Deputy Construction Project (B/T) Business - Economics; (B/T) Business - Management; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Department of Economy and Management North China Electric Power University, NCEPU, Beijing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Wu Yunna Xiong Kai Zhang Yam,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5885279,Conference Abstract/Paper Retraction,Taiwan No
9369,"Rethinking the Growth of China Construction Industry: Institution, Value Innovation, Value-added Statical (B/T) Business - Economics; (B/T) Technology; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) School of Civil Engineering, Chang'an, University, Xi'an, 710061, Shaanxi, P.R. China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Zhang Jing-Xiao Zhou Tian-Hua Li Hui,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5882005,Conference Abstract/Paper Retraction,China No
10073,"Strategies of Speeding up the Process of E-government of Local Colleges (B/T) Government; (B/T) Technology; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Weifang University, Weifang, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Tingyan Bi,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5882013,Conference Abstract/Paper Retraction,China No
