"9193","The effect of auditory versus visual violent media exposure on aggressive behaviour: The role of song lyrics, video clips and musical tone
(HUM) Arts - Music; (SOC) Psychology; (SOC) Sociology; 
Journal of Experimental Social Psychology ---Elsevier
Macquarie University, Sydney, NSW, 2109, Australia
http://retractionwatch.com/2015/10/01/yes-violent-lyrics-affect-you-despite-corrected-graphic-in-study/","+Error in Data+Error in Methods+Error in Text+Investigation by Company/Institution","Heidi I Brummert Lennings
Wayne A Warburton","02/19/2011

10.1016/j.jesp.2011.02.006","08/11/2015

10.1016/j.jesp.2015.07.004","Research Article
Correction","Australia
No"
"8810","A randomised controlled study of the effects of music on sleep quality in older people
(HSC) Medicine - Geriatric; (HUM) Arts - Music; 
Journal of Clinical Nursing ---Wiley
Alice Lee Centre for Nursing Studies, National University of Singapore, Singapore
http://retractionwatch.com/2015/11/04/more-retractions-errata-discovered-for-nursing-researcher/
http://retractionwatch.com/?s=Moon-fai+Chan","+Duplication of Article+Euphemisms for Duplication+Investigation by Company/Institution","Moon Fai Chan","02/07/2011
21294797
10.1111/j.1365-2702.2010.03368.x","07/14/2011
00000000
10.1111/j.1365-2702.2011.03835.x","Research Article
Retraction","Singapore
No"
"13982","Study on the application of team communication patterns in art design teaching
(HUM) Arts - General; (PUB) Society/Association Journals; (SOC) Communications; (SOC) Education; 
2010 The 2nd Conference on Environmental Science and Information Application Technology ---Institute of Electrical and Electronics Engineers (IEEE)
Department of Human Sciences & Department of Transport and Logistics Engineering, Shandong Jiaotong University, Jinan, China Department of Transport and Logistics Engineering, Shandong Jiaotong University, Jinan, China
http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/","+Investigation by Journal/Publisher+Notice - Limited or No Information+Withdrawal","Liu Jian
Zhang Qiuhong
Cheng Qunqun","07/17/2010
00000000
10.1109/ESIAT.2010.5568967","09/09/2010
00000000
10.1109/ESIAT.2010.5568967","Conference Abstract/Paper
Retraction","China
No"
"11913","The Study on Simulating Binaural Room Impulse Response
(B/T) Technology; (HUM) Arts - Music; (PHY) Mathematics; 
2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT) ---Institute of Electrical and Electronics Engineers (IEEE)
Experiment Teaching Department, Guangdong University of Technology, China State Key Laboratory of Subtropical Building Science, South China University of Technology, Guangzhou , China
http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/","+Notice - Limited or No Information","Tian-Kui Guo
Yue-Zhe Zhao","07/09/2010
00000000
10.1109/ICCSIT.2010.5564505","09/07/2017
00000000
10.1109/ICCSIT.2010.5564505","Conference Abstract/Paper
Retraction","China
No"
"6616","Aux Alentours du néant: Propos sur L’anodin
(HUM) Arts -Literature/Poetry; 
Neohelicon ---Springer
Office of the University Provost, Dean of Faculty and Frederick A. Treuhaft Foundation Distinguished Professor, University of Atlanta, Atlanta, USA Centre National de la Recherche Scientifique, Paris, France
http://retractionwatch.com/2015/01/28/serial-plagiarist-loses-13-papers/","+Duplication of Text+Euphemisms for Duplication+Plagiarism of Text","Richard Lawrence Etienne Barnett","05/02/2013

10.1007/s11059-013-0186-9","01/23/2015

10.1007/2Fs11059-014-0289-y","Research Article
Retraction","France
United States
No"
"20488","Play Doctor, Doctor Death: Shaw, Ibsen, and Modern Tragedy
(HUM) Arts -Literature/Poetry; 
Comparative Drama ---Western Michigan University
Izmar University of Economics","+Duplication of Article","Robert James Cardullo","09/01/2011
00000000
10.1353/cdr.2011.0017","11/17/2011
00000000
10.1353/cdr.2011.0017","Review Article
Retraction","Turkey
No"
"11952","Multi-modal music genre classification approach
(B/T) Computer Science; (B/T) Technology; (HUM) Arts - Music; (PUB) Society/Association Journals; 
2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT) ---Institute of Electrical and Electronics Engineers (IEEE)
Multimedia Lab of Information School, Renmin University of China, Beijing, China
http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/","+Investigation by Journal/Publisher+Notice - Limited or No Information+Withdrawal","Chao Zhen
Jieping Xu","07/09/2010

10.1109/ICCSIT.2010.5564489","09/07/2010

10.1109/ICCSIT.2010.5564489","Conference Abstract/Paper
Retraction","China
No"
"12925","Study on therapeutic effect of music therapy on patients with dental anxiety of college students
(HSC) Medicine - Dentistry; (HSC) Medicine - Rehabilitation/Therapy; (HUM) Arts - Music; 
2010 International Conference on E-Health Networking Digital Ecosystems and Technologies (EDT) ---Institute of Electrical and Electronics Engineers (IEEE)
Hospital, Shijiazhuang Railway Institute, Shijiazhuang, 050043, Hebei, China Institutes of Zhongshan, university of electronic science and technology of china, 528402, Guangdong, China
http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/","+Notice - Limited or No Information","Pu Cheng
Rong Chen","04/17/2010

10.1109/EDT.2010.5496628","06/28/2010

10.1109/EDT.2010.5496628","Conference Abstract/Paper
Retraction","China
No"
